tenure_in_months,monthly_charge,total_charges,gender_Male,under_30_Yes,senior_citizen_Yes,married_Yes,dependents_Yes,contract_One Year,contract_Two Year,payment_method_Credit Card,payment_method_Mailed Check,paperless_billing_Yes,internet_service_Yes,online_security_Yes,online_backup_Yes,device_protection_plan_Yes,premium_tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,streaming_music_Yes,offer_Offer A,offer_Offer B,offer_Offer C,offer_Offer D,offer_Offer E,referred_a_friend_Yes
-0.6677487459634591,-0.31446824295036285,-0.6200328011095826,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.8307458144769808,1.3473287572157604,-0.4433825466258801,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False
-1.2789877528891656,-0.5238546649712943,-0.9846966477061537,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1.0437204734285188,0.12092257109316168,0.7466126475803446,False,True,False,True,False,True,False,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,True
-1.1974892186324047,0.5064594751317021,-0.8998356835862038,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,True
-1.2789877528891656,-1.33148800705203,-0.9954201080707653,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
-0.178757540422894,-0.49394231896830415,-0.3839842846885673,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
1.4919624118407036,1.3506523512160928,2.0822792107725054,False,False,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True
0.10648732947576899,-0.3161300399505289,-0.15722502097022995,True,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0.2694843979892907,-0.6551366279844181,-0.21613785877581143,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False
-0.7899965473486004,-0.09843463292876686,-0.6753049579271787,True,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,True
-0.178757540422894,-0.9642308700153169,-0.582059395168232,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False
-0.09725900616613313,-1.3181936310507012,-0.6578958833846305,False,False,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
-1.0752414172472633,-1.502653098069141,-0.94956959235541,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.8307458144769808,0.46823814412788106,-0.619414988578288,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True
-1.0752414172472633,-1.4976677070686424,-0.9570495369307254,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.451213144712323,0.6626683931473177,1.513935811448098,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True
0.7177263364014754,1.3390197722149297,1.27221665857913,True,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,True,False,False,False,False,False,True
1.2882160761988013,1.5567151792366918,2.1264307420268005,True,False,True,True,False,False,True,False,False,True,True,True,False,True,True,True,True,False,False,True,False,False,False,True
1.2067175419420404,1.2160467942026365,1.7141291363207722,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,True
-0.5455009445783178,0.8089065291619363,-0.2910696929285285,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,True
1.4919624118407036,-1.5109620830699715,-0.36736954054339765,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6677487459634591,-0.5088984919697991,-0.6537256487983926,True,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False
0.8807234049149971,0.5014740841312035,0.8948876550910216,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False
-0.38250387606479613,-1.0007904040189717,-0.6672072008205687,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
0.9622219391717579,0.3020584441112687,0.7998327842047126,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False
-0.178757540422894,1.2808568772091153,0.2693083376888321,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False
-0.26025607467965484,0.6377414381448259,-0.011553651984294077,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1.2474668090704208,0.22395398510346112,1.0131766901006556,True,False,False,False,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False
-1.2789877528891656,-0.6534748309842519,-0.9864176969004741,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
-1.1159906843756437,0.6394032351449919,-0.8188801772533654,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
-1.1567399515040242,-0.6235624849812617,-0.9261809750992616,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
-1.238238485760785,1.003336778181373,-0.9277255064274978,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False
-0.2195068075512744,-0.533825446972291,-0.3789093960386483,True,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True
-1.0344921501188828,-0.6684310039857471,-0.8640025567711235,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.238238485760785,-1.1420431490330922,-0.9716122608826668,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
-0.5862502117066982,-0.2114368289400632,-0.5805148638399958,True,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False
1.4919624118407036,1.1495749141959914,2.0193947209800305,True,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,True,True,True,False,False,False,False,False
-0.38250387606479613,-0.6584602219847502,-0.5664154992865252,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False
-0.8307458144769808,0.9900424021800438,-0.48843873194385673,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False
-0.3417546089364157,-1.4744025490663168,-0.7932630219379048,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-0.2195068075512744,0.37683930911874425,-0.08251383415011794,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0.22873513086091027,-1.477726143066649,-0.6784160853169117,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.4324814665028124,0.3469269631157543,0.4052050298403587,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0.7992248706582362,-0.9742016520163136,-0.14184590188764926,False,False,False,True,False,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True
-1.2789877528891656,0.7258166791536301,-0.9681039682942447,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False
1.0029712063001384,-1.4960059100684764,-0.44497120742063745,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
-1.1974892186324047,-0.641842251983089,-0.9437886322411545,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
-0.6269994788350787,0.9235705221733989,-0.33771453904126236,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,False,True
0.22873513086091027,-0.1582593249347472,-0.038472626562125314,True,False,False,True,False,False,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True
1.6142102132258447,1.7312038642541347,2.734843696952308,False,False,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True
0.4324814665028124,1.217708591202803,0.9918621577709956,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False
0.7177263364014754,0.9551446651765553,1.0887263367846671,True,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,False,True,False,False,False,False
0.14723659660414942,0.6809481601491449,0.3761457761362574,True,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True
1.1252190076852797,1.3356961782145975,1.745924416949178,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,False,False
1.2067175419420404,-1.3663857440555187,-0.38111586936470004,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0.35098293224605154,-0.6501512369839195,-0.1934994424505205,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1.451213144712323,0.20567421810163386,1.0860565040601444,True,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,False,False,True
-1.2789877528891656,0.2073360151017999,-0.9749881650715261,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True
1.4919624118407036,1.304122035211441,2.095319468129471,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False
-1.2789877528891656,0.4815325201292102,-0.9713474840835407,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False
1.6142102132258447,1.0947356131905097,2.0252418752940677,False,True,False,True,False,False,True,True,False,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True
-1.0344921501188828,0.6792863631489789,-0.7404179857789656,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,False,True,False
-0.9529936158621221,0.6161380771426661,-0.6518280817379881,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False
0.7177263364014754,1.4553455622265583,1.4696518917942394,False,False,False,True,False,True,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,False,False,True
1.5734609460974642,0.14751132309581955,1.1924305831090989,False,False,True,True,True,True,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
-0.8307458144769808,-1.0223937650211312,-0.8110692616791422,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
-1.2789877528891656,-0.46402997296531395,-0.983902317308775,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
-0.7899965473486004,-0.4208232509609946,-0.7103658190781408,True,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,True,False,False
0.35098293224605154,-1.4876969250676457,-0.6180690398493965,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
